company_permalink,angel,convertible_note,debt_financing,post_ipo_equity,private_equity,seed,undisclosed,venture,A,B,C,D,E,F,G,H,sum(raised_amount_usd)
/organization/kinamu-business-solutions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5460000
/organization/vingle-inc,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1500000
/organization/uberlife,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1580000
/organization/tujia,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,455000000
/organization/zimperium,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,20000000
/organization/ultizen,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,23500000
/organization/zbird,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,80000000
/organization/wiwide,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,49000000
/organization/zosano-pharma,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,129009000
/organization/xcerion,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,13340000
/organization/rbm-technologies,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,12499986
/organization/zoopla,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5440000
/organization/sendhub,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8000000
/organization/zoomaal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,330000
/organization/trevena,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,119000000
/organization/vidible,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3350673
/organization/terrapass,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5800000
/organization/shelfbucks,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6500000
/organization/topix,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15000000
/organization/webdata-solutions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4541222
/organization/spherics-pharmaceuticals-inc,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,36400000
/organization/stentys,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,40200000
/organization/xhale,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15985452
/organization/solstice-neurosciences,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,85000000
/organization/zuman,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/stripe,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,278000000
/organization/skystream-markets,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/quantopian,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,21700000
/organization/wireless-services-corporation,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8500000
/organization/zingdom-communications,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13000000
/organization/signalfuse,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,28500000
/organization/vtesse,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25000000
/organization/brightroll,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,36000000
/organization/moat,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13000000
/organization/erytech-pharma,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,32081632
/organization/mineeds,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/easyfolio,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,897666
/organization/athena-semiconductors,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10000000
/organization/pipelinedeals-com,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1000000
/organization/anevia,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8330000
/organization/bigleaf-networks,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1500000
/organization/advanced-practice-strategies,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12000000
/organization/aryaka-networks,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,80000000
/organization/nbo-tv-network,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,18000000
/organization/chumby,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,17500000
/organization/mediaxstream,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10000000
/organization/minutekey,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,43550767
/organization/offpeak-my,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,800000
/organization/buzz-referrals,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,600000
/organization/powerid,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12000000
/organization/daraz-pk,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55600000
/organization/clutter,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9000000
/organization/optoro,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,82900000
/organization/comunitae,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4807100
/organization/clarus-systems,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3330000
/organization/empyrean-benefit-solutions,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10000000
/organization/cloopen,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/elevate-digital,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,11200000
/organization/gicare-pharma,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7403435
/organization/mediaspike,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5200000
/organization/ception-therapeutics,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,77700000
/organization/gnubio,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,18000000
/organization/alsyon-technologies,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3808000
/organization/accordent-technologies,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/modern-meadow,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10000000
/organization/global-power-electronics,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,750000
/organization/celladon,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,51800000
/organization/mozes,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,17300000
/organization/merlot-laboratories,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,575108
/organization/neopad,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14000000
/organization/aftercad-software,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1107000
/organization/iflix,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30000000
/organization/briggo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5765566
/organization/hollar,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12000000
/organization/mc10,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,0,39208131
/organization/optrip,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,500000
/organization/ip-fabrics,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1500000
/organization/musicshake,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3500000
/organization/m-gemi,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,32000000
/organization/cervel-neurotech,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7499999
/organization/clearflow,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,8900000
/organization/catawiki,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,94825226
/organization/immune-targeting-systems,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,20320961
/organization/mydeco,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14529275
/organization/alcresta,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,20000000
/organization/doctolib,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,26348241
/organization/pom-monitoring,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1711039
/organization/liquidhub,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,73000000
/organization/nominum,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,41000000
/organization/mtivity,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,9680000
/organization/simplestar,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6300000
/organization/tenex-health,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5000000
/organization/symic-biomedical,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,40000000
